date_only,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PXY,SO_2,TCH,TOL,Year,PM25,NO,CH4
2001-01-01,64.17391304347827,0.0,72.0,80.0,60.0,0.0,0.0,80.0,0.0,4.521739130434783,80.0,0.0,60.0,64.34782608695652,2001,,,
2001-01-02,65.32905296950241,1.7656500802568218,73.03370786516854,80.73836276083468,61.47672552166934,1.7656500802568218,1.9261637239165328,80.73836276083468,1.7656500802568218,5.9390048154093105,80.73836276083468,1.7656500802568218,61.47672552166934,65.48956661316213,2001,,,
2001-01-03,65.7051282051282,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,4.166666666666666,80.76923076923077,0.0,61.53846153846154,65.7051282051282,2001,,,
2001-01-04,65.5448717948718,0.0,73.07692307692307,80.76923076923077,61.69871794871795,0.0,0.0,80.76923076923077,0.16025641025641024,4.487179487179487,80.76923076923077,0.16025641025641024,61.69871794871795,65.5448717948718,2001,,,
2001-01-05,65.5448717948718,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.53846153846154,65.5448717948718,2001,,,
2001-01-06,65.38461538461539,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.53846153846154,65.38461538461539,2001,,,
2001-01-07,65.38461538461539,0.0,73.07692307692307,80.76923076923077,61.53846153846154,1.282051282051282,1.282051282051282,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.53846153846154,65.7051282051282,2001,,,
2001-01-08,65.5448717948718,0.16025641025641024,73.07692307692307,80.76923076923077,61.69871794871795,1.9230769230769231,1.9230769230769231,80.76923076923077,0.16025641025641024,4.807692307692308,80.76923076923077,0.16025641025641024,61.69871794871795,65.38461538461539,2001,,,
2001-01-09,65.86538461538461,0.0,73.23717948717949,80.76923076923077,61.69871794871795,0.4807692307692308,0.4807692307692308,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.69871794871795,65.7051282051282,2001,,,
2001-01-10,65.38461538461539,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,4.006410256410256,80.76923076923077,0.0,61.53846153846154,65.38461538461539,2001,,,
2001-01-11,65.5448717948718,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,4.166666666666666,80.76923076923077,0.0,61.53846153846154,65.7051282051282,2001,,,
2001-01-12,65.5448717948718,0.16025641025641024,73.07692307692307,80.76923076923077,61.53846153846154,0.16025641025641024,0.16025641025641024,80.76923076923077,0.16025641025641024,4.166666666666666,80.76923076923077,0.16025641025641024,61.53846153846154,65.5448717948718,2001,,,
2001-01-13,65.38461538461539,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.53846153846154,65.5448717948718,2001,,,
2001-01-14,65.5448717948718,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.53846153846154,65.5448717948718,2001,,,
2001-01-15,66.02564102564102,0.3205128205128205,73.07692307692307,81.25,62.17948717948718,0.3205128205128205,0.3205128205128205,81.25,0.3205128205128205,4.166666666666666,81.25,0.3205128205128205,62.17948717948718,66.02564102564102,2001,,,
2001-01-16,65.5448717948718,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.53846153846154,65.5448717948718,2001,,,
2001-01-17,65.5448717948718,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.53846153846154,65.5448717948718,2001,,,
2001-01-18,65.7051282051282,1.1217948717948718,73.07692307692307,80.76923076923077,62.66025641025641,1.1217948717948718,1.1217948717948718,80.76923076923077,1.282051282051282,5.128205128205128,80.76923076923077,1.1217948717948718,62.66025641025641,65.5448717948718,2001,,,
2001-01-19,65.86538461538461,1.7628205128205128,73.3974358974359,80.76923076923077,63.30128205128205,1.7628205128205128,1.7628205128205128,80.76923076923077,1.6025641025641024,7.852564102564102,80.76923076923077,1.7628205128205128,63.30128205128205,65.86538461538461,2001,,,
2001-01-20,65.38461538461539,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.53846153846154,65.38461538461539,2001,,,
2001-01-21,69.23076923076923,0.0,73.07692307692307,80.76923076923077,61.53846153846154,0.0,0.0,80.76923076923077,0.0,3.8461538461538463,80.76923076923077,0.0,61.53846153846154,69.23076923076923,2001,,,
2001-01-22,67.3076923076923,1.1217948717948718,73.07692307692307,80.76923076923077,62.66025641025641,1.1217948717948718,1.1217948717948718,80.76923076923077,1.1217948717948718,5.288461538461538,80.76923076923077,1.1217948717948718,62.66025641025641,67.3076923076923,2001,,,
2001-01-23,65.38461538461539,1.7628205128205128,73.07692307692307,80.76923076923077,63.46153846153846,1.7628205128205128,1.7628205128205128,80.76923076923077,1.7628205128205128,5.929487179487179,80.76923076923077,1.7628205128205128,63.46153846153846,65.38461538461539,2001,,,
