station,hour,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PXY,SO_2,TCH,TOL,Year,PM25,NO,CH4
28079001,0,100.0,0.5494505494505495,100.0,100.0,100.0,0.5494505494505495,0.5494505494505495,100.0,0.27472527472527475,0.27472527472527475,100.0,0.5494505494505495,100.0,100.0,2001,,,
28079001,1,100.0,0.8241758241758242,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.5494505494505495,0.5494505494505495,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,2,100.0,0.8241758241758242,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.5494505494505495,0.5494505494505495,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,3,100.0,1.098901098901099,100.0,100.0,100.0,1.098901098901099,1.098901098901099,100.0,0.8241758241758242,1.098901098901099,100.0,1.098901098901099,100.0,100.0,2001,,,
28079001,4,100.0,0.8241758241758242,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.5494505494505495,0.5494505494505495,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,5,100.0,0.8241758241758242,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.5494505494505495,0.5494505494505495,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,6,100.0,0.8241758241758242,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.5494505494505495,0.5494505494505495,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,7,100.0,0.8241758241758242,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.5494505494505495,0.5494505494505495,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,8,100.0,0.8241758241758242,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.5494505494505495,0.5494505494505495,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,9,100.0,0.8241758241758242,100.0,100.0,100.0,1.098901098901099,1.098901098901099,100.0,0.8241758241758242,1.098901098901099,100.0,1.098901098901099,100.0,100.0,2001,,,
28079001,10,100.0,1.098901098901099,100.0,100.0,100.0,1.3736263736263736,1.3736263736263736,100.0,1.098901098901099,1.9230769230769231,100.0,1.098901098901099,100.0,100.0,2001,,,
28079001,11,100.0,1.6483516483516485,100.0,100.0,100.0,1.6483516483516485,1.6483516483516485,100.0,1.3736263736263736,1.9230769230769231,100.0,1.9230769230769231,100.0,100.0,2001,,,
28079001,12,100.0,0.8241758241758242,100.0,100.0,100.0,1.098901098901099,1.098901098901099,100.0,0.8241758241758242,1.098901098901099,100.0,1.098901098901099,100.0,100.0,2001,,,
28079001,13,100.0,0.8241758241758242,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.8241758241758242,0.8241758241758242,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,14,100.0,0.5494505494505495,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.5494505494505495,0.5494505494505495,100.0,0.5494505494505495,100.0,100.0,2001,,,
28079001,15,100.0,0.5494505494505495,100.0,100.0,100.0,0.5494505494505495,0.5494505494505495,100.0,0.5494505494505495,0.5494505494505495,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,16,100.0,0.8241758241758242,100.0,100.0,100.0,0.8241758241758242,0.8241758241758242,100.0,0.8241758241758242,0.8241758241758242,100.0,0.8241758241758242,100.0,100.0,2001,,,
28079001,17,100.0,0.27472527472527475,100.0,100.0,100.0,0.27472527472527475,0.27472527472527475,100.0,0.27472527472527475,0.8241758241758242,100.0,0.5494505494505495,100.0,100.0,2001,,,
28079001,18,100.0,0.27472527472527475,100.0,100.0,100.0,0.27472527472527475,0.27472527472527475,100.0,0.27472527472527475,0.27472527472527475,100.0,0.5494505494505495,100.0,100.0,2001,,,
28079001,19,100.0,0.27472527472527475,100.0,100.0,100.0,0.27472527472527475,0.27472527472527475,100.0,0.27472527472527475,0.5494505494505495,100.0,0.5494505494505495,100.0,100.0,2001,,,
28079001,20,100.0,0.5494505494505495,100.0,100.0,100.0,0.27472527472527475,0.27472527472527475,100.0,0.27472527472527475,0.5494505494505495,100.0,0.5494505494505495,100.0,100.0,2001,,,
28079001,21,100.0,0.5494505494505495,100.0,100.0,100.0,0.27472527472527475,0.27472527472527475,100.0,0.27472527472527475,0.27472527472527475,100.0,0.5494505494505495,100.0,100.0,2001,,,
28079001,22,100.0,0.5494505494505495,100.0,100.0,100.0,0.27472527472527475,0.27472527472527475,100.0,0.27472527472527475,0.5494505494505495,100.0,0.5494505494505495,100.0,100.0,2001,,,
28079001,23,100.0,0.5494505494505495,100.0,100.0,100.0,0.27472527472527475,0.27472527472527475,100.0,0.27472527472527475,0.27472527472527475,100.0,0.5494505494505495,100.0,100.0,2001,,,
28079003,0,100.0,0.273972602739726,100.0,100.0,100.0,0.273972602739726,0.273972602739726,100.0,0.273972602739726,0.821917808219178,100.0,0.273972602739726,100.0,100.0,2001,,,
28079003,1,100.0,0.273972602739726,100.0,100.0,100.0,0.273972602739726,0.273972602739726,100.0,0.273972602739726,0.821917808219178,100.0,0.273972602739726,100.0,100.0,2001,,,
28079003,2,100.0,0.273972602739726,100.0,100.0,100.0,0.273972602739726,0.273972602739726,100.0,0.273972602739726,0.821917808219178,100.0,0.273972602739726,100.0,100.0,2001,,,
28079003,3,100.0,0.547945205479452,100.0,100.0,100.0,0.547945205479452,0.547945205479452,100.0,0.547945205479452,1.36986301369863,100.0,0.547945205479452,100.0,100.0,2001,,,
